1,北海道,ほっかいどう,hokkaidou,hokkaidou
2,青森県,あおもり,aomori,aomori
3,岩手県,いわて,iwate,iwate
4,宮城県,みやぎ,miyagi,miyagi
5,秋田県,あきた,akita,akita
6,山形県,やまがた,yamagata,yamagata
7,福島県,ふくしま,fukushima,fukusima
8,茨城県,いばらき,ibaraki,ibaraki
9,栃木県,とちぎ,tochigi,totigi
10,群馬県,ぐんま,gumma,gumma
11,埼玉県,さいたま,saitama,saitama
12,千葉県,ちば,chiba,tiba
13,東京都,とうきょう,toukyou,toukyou
14,神奈川県,かながわ,kanagawa,kanagawa
15,新潟県,にいがた,niigata,niigata
16,富山県,とやま,toyama,toyama
17,石川県,いしかわ,ishikawa,isikawa
18,福井県,ふくい,fukui,fukui
19,山梨県,やまなし,yamanashi,yamanasi
20,長野県,ながの,nagano,nagano
21,岐阜県,ぎふ,gifu,gifu
22,静岡県,しずおか,shizuoka,sizuoka
23,愛知県,あいち,aichi,aiti
24,三重県,みえ,mie,mie
25,滋賀県,しが,shiga,siga
26,京都府,きょうと,kyouto,kyouto
27,大阪府,おおさか,oosaka,oosaka
28,兵庫県,ひょうご,hyougo,hyougo
29,奈良県,なら,nara,nara
30,和歌山県,わかやま,wakayama,wakayama
31,鳥取県,とっとり,tottori,tottori
32,島根県,しまね,shimane,simane
33,岡山県,おかやま,okayama,okayama
34,広島県,ひろしま,hiroshima,hirosima
35,山口県,やまぐち,yamaguchi,yamaguti
36,徳島県,とくしま,tokushima,tokusima
37,香川県,かがわ,kagawa,kagawa
38,愛媛県,えひめ,ehime,ehime
39,高知県,こうち,kouchi,kouti
40,福岡県,ふくおか,fukuoka,fukuoka
41,佐賀県,さが,saga,saga
42,長崎県,ながさき,nagasaki,nagasaki
43,熊本県,くまもと,kumamoto,kumamoto
44,大分県,おおいた,ooita,ooita
45,宮崎県,みやざき,miyazaki,miyazaki
46,鹿児島県,かごしま,kagosima,kagosima
47,沖縄県,おきなわ,okinawa,okinawa
